 Label,Event ID,Service Name,Service File Name,Service Type,Service Start Type,Service Account,Data Service Name,Timestamp,ID
benign,7045,DHCPClient,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\NetworkService,Windows Defender,2024-02-22T08:45:12.219Z,4c7a6a44-21a3-4d8d-9d8a-1234567890Y
benign,7045,NetworkManager,C:\Program Files\NetworkManager\NMService.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-08-20T08:47:10.219Z,4f82a511-e62e-4121-9f65-123456789Y
benign,7045,NetworkService,C:\Windows\System32\netsvcs.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-22T08:45:12.192Z,4bc31f6f-11a4-4211-b2a3-98c5213eY
benign,7045,PrintService,C:\Windows\System32\spoolsv.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-02T08:45:12.219Z,4f7a8e21-5b43-49f2-bc12-34a56b89cY
benign,7045,PrintService,C:\Windows\System32\spoolsv.exe,Own Process,Auto Start,LocalSystem,Windows11Update,2024-03-22T09:45:12.192Z,4f65a85b-21c4-4fb3-bc6a-8a5c2e98761Y
benign,7045,StorageService,C:\Windows\System32\svchost.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-09-02T08:47:21.219Z,43f85d12-ba23-41a9-82bc-31dc9c65Y
benign,7045,Netman,C:\Windows\System32\svchost.exe,Shared Process,Demand Start,NT AUTHORITY\NetworkService,Windows Update,2024-08-21T08:45:12.189Z,4e29b5a5-2f71-4a85-8c63-234sf23aY
benign,7045,PrintService,C:\Windows\System32\spoolsv.exe,Share Process,Auto Start,NT AUTHORITY\LocalService,WindowsPrintService,2024-09-02T08:47:14.219Z,2b1d14f5-4c64-42f7-85a2-1354215Y
benign,7045,MyPrintService,C:\Windows\System32\spoolsv.exe,Share Process,Auto Start,NT AUTHORITY\LocalService,Windows Update,2024-08-22T08:45:12.219Z,43f8e851-b421-4123-9cda-1234567890Y
benign,7045,DNSCache,C:\Windows\System32\dnsrslvr.dll,Shared Process,Auto Start,NetworkService,WindowsDefender,2024-07-22T10:15:32.191Z,3fbaa8f4-219e-45f3-bc11-d45f3e2cY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Dhcp,2024-09-01T08:42:19.123Z,43f4d1a1-2c11-499a-bb45-82e4567890Y
benign,7045,PrintService,C:\Windows\System32\spoolsv.exe,Own Process,Auto Start,LocalService,Windows Defender,2024-09-02T08:47:12.192Z,4a22d5b9-e23f-4e83-b12d-41a5158bc6aY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Shared Process,Demand Start,NT Authority\NetworkService,Windows Update Service,2024-07-22T08:41:19.219Z,4f6a2b8c-a821-49f3-9c11-82e217c9Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-03-10T08:41:22.192Z,4f75a2a3-e319-4e5b-b1c5-f37a12d98c23Y
benign,7045,Windows Defender Service,C:\Program Files\Windows Defender\MsMpEng.exe,Share Process,Auto Start,NT AUTHORITY\SYSTEM,Windows Defender,2024-08-20T08:47:12.192Z,589a21d1-45bf-4123-ba12-823rdwe-23456Y
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,DNSClient,2024-09-01T08:42:19.121Z,4d7a210e-21f9-499a-b5c4-d0f1c9b7a1eY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-09-02T08:45:12.219Z,4c55fba2-ed9c-4123-ba45-8f8f29e1a4Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-03-22T08:45:12.219Z,4eca7b41-23f9-4251-9d4f-3d7b51c6Y
benign,7045,BackupService,C:\Program Files\Microsoft\BackupService\bservice.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-09-22T08:45:12.192Z,4f29e68c-21c5-4c1b-842e-fda87d212Y
benign,7045,BackupService,C:\Program Files\Microsoft\Backup\backupsvc.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-08-22T08:45:01.219Z,4a67f582-21a4-4123-bc85-23456defY
benign,7045,VMwareTools,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,Own Process,Auto Start,LocalSystem,WindowsDefender,2024-03-22T08:41:19.219Z,4c2a31c9-11a5-421d-b5f5-095f67b8Y
benign,7045,StorageService,C:\Windows\System32\svchost.exe,Shared Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-02-20T08:15:32.189Z,43a9c21d-67b5-4f32-ba45-fc235tgewY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-09-02T08:41:19.421Z,4a68e21d-bc51-43c4-b6f8-85f0c51a22eY
benign,7045,BackupSvc,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-03-22T08:45:12.219Z,4f85a21f-2341-4123-bd92-87asdwq3Y
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT Authority\NetworkService,WindowsUpdate,2024-07-22T08:42:19.219Z,43a2f19c-9d83-4121-9f63-8e7a14d5Y
benign,7045,StorageService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-02-27T08:41:19.123Z,4a5f6b78-2c4d-4e11-9e1f-3a7c59e3e4Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\NetworkService,Windows Defender,2024-03-22T08:41:19.219Z,4c1a5f6d-2e12-4123-9gdfda-8312rheaY
benign,7045,Netman,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT Authority\NetworkService,Windows Defender,2024-09-02T08:45:10.219Z,3fba4e4d-14c3-42a5-9e8f-23456e7gY
benign,7045,MyBackupService,C:\Program Files\MyBackup\MyBackupService.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-07-22T08:45:12.219Z,3fbaa132-148c-43a5-8e2f-51hjklmnY
benign,7045,NetworkAgent,C:\Windows\System32\svchost.exe,Shared Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-07-22T10:45:12.192Z,4a0b1c2d-1234-5678-9012-34a567b89cY
benign,7045,DNSCache,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender Antivirus Service,2024-08-19T08:41:22.219Z,2a5456d7-1a23-4128-bc67-85f4d11e9Y
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows11,2024-09-02T08:47:22.192Z,4c9aaf65-f8d4-4d32-bc3e-25a3248d6b3fY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-08-20T08:45:12.219Z,4c2a5f6f-92d1-4e3a-b761-f6e4a29eY
benign,7045,NetworkMonitor,C:\Program Files\Network Monitor\networkmonitor.exe,Own Process,Auto Start,NT AUTHORITY\NetworkService,NetworkService,2024-03-22T11:47:19.219Z,4b5f79a2-219e-4c9f-a94e-4c72a9f3c9b7Y
benign,7045,NetworkService,C:\Windows\System32\nsvcs.exe,Shared Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-02-22T08:41:19.219Z,4f58a6e2-11c4-49a8-b126-8f34hjklY
benign,7045,Netman,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-08-20T08:45:21.219Z,4f67b321-1c9d-49e1-8a4d-1234567890Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-08-20T10:45:12.219Z,43c711a6-2198-4123-bc78-1234567890Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\NetworkService,DNSClient,2024-09-01T11:47:12.219Z,4a6f11e2-9f8c-49c2-8d43-6a7a4f3bY
benign,7045,WindowsBackup,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender Advanced Threat Protection,2024-07-22T10:15:02.467Z,42a3f4a4-1357-4982-b611-89dc3c3a4dY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\NetworkService,Windows Update,2024-09-02T08:41:10.192Z,87df2a3f-14bc-4f6c-ba21-5d4f8b5aY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-09-02T08:45:12.192Z,47a86d21-e4c8-42c1-8b55-1234567890Y
benign,7045,Netman,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Update,2024-03-10T08:45:12.219Z,4a68b52e-2a51-4f9d-8e6f-c511e22dY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,DNS Client,2024-02-20T08:41:19.123Z,741d3c12-56ae-42a1-82ab-5fde3f8cY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-03-22T08:41:19.219Z,43a2f519-4c4b-4421-b9a3-c46a6223eY
benign,7045,NetworkMonitor,C:\Program Files\Network Monitor\NetMonSvc.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-08-20T08:41:22.192Z,4f39a2c9-6a3f-4d5a-9fac-45a6bc1d2eY
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-07-22T09:45:01.219Z,4a79f5a2-11e7-41c9-82e7-3421b2345Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,DNSClient,2024-02-20T08:45:12.219Z,4a31bcf5-23f3-4f65-9e6a-2e36f1a3eY
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT Authority\LocalService,WindowsUpdate,2024-09-02T08:15:01.219Z,4f81c528-1e34-412b-b3ca-1234567890Y
benign,7045,BackupService,C:\Program Files\Microsoft\Backup\backupsvc.exe,Own Process,Auto Start,NT AUTHORITY\NetworkService,WindowsBackup,2024-03-22T08:45:12.192Z,4f6a8d32-5b41-49c3-85a9-e4f7b2e5a1bY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-03-22T08:41:12.192Z,4f6b5312-21a8-49c9-ba9a-1234567890Y
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-09-02T08:45:12.192Z,4a582f6d-23e9-4b2e-9f8c-7a6b5e7cY
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-09-02T11:45:12.193Z,4a58f321-1d23-4c85-ba67-82e3a5a5Y
benign,7045,StorageService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-07-22T09:45:12.189Z,42a6f5bc-4f5a-46b2-ba8d-51f0556dY
benign,7045,BackupService,C:\Program Files\Microsoft\Backup\backupsvc.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,WindowsBackup,2024-09-01T08:45:12.219Z,4a86c342-1e9d-432e-823a-82a3f19e37Y
benign,7045,BackupService,C:\Program Files\Microsoft\Windows\Backup\backupsvc.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,WindowsBackup,2024-03-10T08:45:21.219Z,3f7e51a8-bc83-42ef-b1f3-7a24356b1fY
benign,7045,NetworkSecurityService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-09-02T08:45:12.219Z,4f25b49c-11a5-49c2-a3a1-112233445566Y
benign,7045,UpdateService,C:\Program Files\Microsoft Updates\update_service.exe,Own Process,Auto Start,NT AUTHORITY\NetworkService,Windows Update,2024-09-02T08:47:12.219Z,4f62f341-9b4c-4921-9e14-4b58a2d8aY
benign,7045,Netman,C:\Windows\System32\netman.dll,Shared Process,Demand Start,LocalService,WindowsUpdate,2024-03-22T08:45:12.192Z,43f92c8e-571d-4f3d-a6c7-87c1a3a5bY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\NetworkService,Windows Defender,2024-09-02T08:45:12.192Z,43f8c351-2a14-4674-9f8g-6432b49eY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Shared Process,Demand Start,NT Authority\LocalService,Windows Defender,2024-09-02T08:45:12.219Z,4e8a3c2d-15b5-4123-a23f-9d4c6a53fY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-07-22T10:45:12.192Z,4f56a23b-2198-4123-85gf45-67823456Y
benign,7045,BackupService,C:\Program Files\Microsoft\BackupSvc\backupsvc.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-03-22T08:41:19.219Z,43a79f61-9c4a-43be-9ecb-4d7b8a3b99cY
benign,7045,WindowsBackup,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-09-02T10:45:12.219Z,4a82f6e2-61a4-46fd-ba53-83f1a1b4eY
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT Authority\NetworkService,DNSClient,2024-02-20T08:45:12.192Z,4a8f59a2-219d-4e5a-b7c3-1234567890Y
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-02-22T10:45:12.192Z,4f8a2b9e-42a5-4c1a-bb23-812345678Y
benign,7045,NetworkSecurity,C:\Windows\System32\svchost.exe,Shared Process,Demand Start,NT AUTHORITY\NetworkService,WSearch,2024-08-20T10:45:12.219Z,4f6a8d21-9b43-49a5-bc3d-1234567890Y
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-03-22T08:45:12.219Z,837d3f92-41a5-4f3c-b6c2-0123456789Y
benign,7045,Netman,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-08-20T09:45:12.192Z,8f43a511-2345-4123-9e43-1a2b3c4d5eY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-01T08:45:21.219Z,4b8d6f9f-2e43-49b5-b3c4-1234567890Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-02-22T08:41:19.421Z,4b39a6f2-f7a3-495a-bf63-35a2349cY
benign,7045,Netman,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-08-20T08:41:22.191Z,4b647f24-ba32-4a91-8e5c-12345cd6Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Shared Process,Auto Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-07-22T10:45:12.192Z,4f7a84e2-11e6-43f2-b6d9-827c13a2e9Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-07-22T08:41:19.421Z,4a582951-5f2e-49ad-b4df-6a8b21f9eY
benign,7045,BackupSvc,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-03-22T08:41:19.421Z,4a5344ba-219c-46f9-bb43-87tgyhuY
benign,7045,WindowsBackup,C:\Windows\System32\wbengine.exe,Own Process,Auto Start,NT AUTHORITY\SYSTEM,WindowsBackupService,2024-08-20T08:45:12.219Z,4b6f5211-2345-4987-b23f1-74b9a2cY
benign,7045,BackupService,C:\Program Files\Microsoft\Backup\backup.exe,Own Process,Auto Start,NT AUTHORITY\NetworkService,Windows Defender,2024-09-02T08:45:12.219Z,4a622321-1c9d-43f2-8b45-9d7e8f11a6Y
benign,7045,Netman,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-06-22T08:45:12.219Z,43a6f8d2-9e3f-4752-8f13-5c4a9a8bY
benign,7045,MSSQLSERVER,C:\Program Files\Microsoft SQL Server\MSSQL14.MSSQLSERVER\MSSQL\Binn\sqlservr.exe,Own Process,Auto Start,NT SERVICE\MSSQLSERVER,WindowsSQLService,2024-03-22T08:41:19.421Z,4c71a4d2-162c-49a5-9bf7-a235fde7Y
benign,7045,BackupService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-01T08:45:12.219Z,43b61f4c-2198-4c1a-a2f8-5b43e1d7d43Y
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Shared Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender Service,2024-03-22T09:45:12.187Z,45a3f8d2-9f43-4756-bc22-8a19d6b7c45Y
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-01T08:45:21.142Z,4a2b6d9f-1234-4567-89ab-cdef123456Y
benign,7045,DNSCache,C:\Windows\System32\dnsrslvr.dll,Own Process,Auto Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-02-22T08:47:12.192Z,4b6f1c5a-22ee-49d4-8f6e-4c21a6b5Y
benign,7045,IntelOptaneMemoryService,C:\Program Files\Intel\Optane\service.exe,Own Process,Auto Start,LocalSystem,Windows Defender,2024-07-22T08:42:11.219Z,4f3a51d2-11d3-421e-93a4-7e6f8g9hY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-03-22T10:45:12.192Z,4a382521-1e4c-4f67-ba93-421f8eac35eY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-02T10:15:22.187Z,ced25ebd-4d8c-412f-b341-123456789abcY
benign,7045,MyPrintService,C:\Windows\System32\spoolsv.exe,Share Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-02-22T08:41:19.421Z,43f9c4e2-1a5e-4cf6-b2e1-351a6a2b2e1Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-08-22T08:45:12.219Z,43a8f551-2c11-46b5-b3a4-9f7a4e1dY
benign,7045,MyBackupService,C:\Program Files\MyBackup\MyBackupService.exe,Own Process,Auto Start,LocalService,Windows Defender,2024-09-02T08:45:12.192Z,a2c6f4a3-432f-4c21-b2a4-1234567890Y
benign,7045,Netman,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-08-22T10:15:32.219Z,4c81b8a3-21e9-4f3a-bc12-7e8f6ew7Y
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Shared Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-02-22T08:45:12.219Z,4c2219a2-f47d-43a2-b821-1d829f1a58Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT Authority\NetworkService,MSSQLSERVER,2024-03-25T08:45:12.192Z,4cdef123-4567-89ab-cdef-1234567890Y
benign,7045,Netman,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender Service,2024-02-22T11:15:02.219Z,4a82d5e7-2b43-4121-ba91-87c43f8a5cY
benign,7045,MySQLService,C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe,Own Process,Auto Start,NT AUTHORITY\NetworkService,MySQL80,2024-08-20T10:45:12.219Z,4f6a8f21-2b43-419f-92e2-1b48b8c2a9Y
benign,7045,BackupService,C:\Program Files\Microsoft\BackupSvc\backup.exe,Own Process,Auto Start,NT AUTHORITY\SYSTEM,WindowsBackup,2024-03-22T08:41:19.219Z,43a21f91-8b43-49f3-b12d-8f5a41Y
benign,7045,ReportingService,C:\Program Files\ReportingService\ReportingSvc.exe,Own Process,Auto Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-02T11:47:22.191Z,3fda419c-72cd-4d6f-b3c5-fg4e2dsrY
benign,7045,BackupService,C:\Program Files\Microsoft\Backup\service.exe,Own Process,Auto Start,NT AUTHORITY\SYSTEM,Windows Defender,2024-03-22T08:45:12.192Z,43b9a7e3-21cb-4d85-b6a8-4de77f525Y
benign,7045,Netman,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-03-20T09:45:12.189Z,43f2c1d2-5a49-4958-823a-1234567890Y
benign,7045,SQLServer,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\Binn\sqlservr.exe,Own Process,Auto Start,NT AUTHORITY\SYSTEM,MSSQLSERVER,2024-07-22T08:41:19.219Z,53746a21-9f42-4f11-ba94-82cdfe123Y
benign,7045,BackupService,C:\Program Files\Microsoft\Backup\bservice.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Backup,2024-03-22T08:47:12.192Z,43a72e5d-9f8c-4b6f-9c8d-e6c8b5a2fY
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-03-22T08:41:19.421Z,4a56f321-1e43-4c91-bb45-8d72f19aY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Own Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender,2024-09-02T08:45:21.219Z,4f8a5c2e-1b6c-4123-bd8e-2c52a8b9aY
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Shared Process,Demand Start,LocalService,Windows Defender,2024-02-22T10:15:32.192Z,43a8f5c9-e121-46b8-9d4e-5c2a8b430dY
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-03-22T08:41:19.421Z,3fda9fba-4c12-49b5-81ea-23456abcY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Own Process,Auto Start,NT AUTHORITY\NetworkService,Windows Defender Advanced Threat Protection,2024-09-01T08:45:12.219Z,4b6f5c42-2198-4f32-9a6b-1234567890Y
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,Windows Defender,2024-08-20T10:42:15.219Z,41329f6d-21a4-49c7-8f9d-23e921e5Y
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-03-10T08:42:19.421Z,4f6a8b21-23cd-49d3-82t5-4321e56aY
benign,7045,SystemUpdateService,C:\Windows\System32\svchost.exe,Own Process,Auto Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-03-10T08:45:10.219Z,8a6d4f21-1234-4123-ba89-87f65cd1Y
benign,7045,BackupService,C:\Program Files\Microsoft\Backup\backup.exe,Own Process,Auto Start,NT AUTHORITY\NetworkService,Windows Defender,2024-08-20T08:45:12.192Z,4fbae5a2-9f8d-49f2-8d7a-98c4321dY
benign,7045,Netman,C:\Windows\System32\netman.dll,Shared Process,Demand Start,NT Authority\LocalService,Windows Defender,2024-09-01T08:42:19.571Z,4e2315a3-49f3-42a2-85r4e6-34dfg8Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\NetworkService,Windows Defender Service,2024-02-20T08:05:12.192Z,43f8d611-2193-4b51-bc46-82de9b76f4dY
benign,7045,NetmanService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-08-22T08:45:12.219Z,4e38a611-21ea-49c4-93c1-bd3f7b4aY
benign,7045,BackupService,C:\Program Files\Microsoft Backup\backupsvc.exe,Own Process,Auto Start,NT AUTHORITY\SYSTEM,WindowsBackup,2024-07-22T08:45:12.219Z,4a6b91df-1234-4123-91ab-2345678900Y
benign,7045,NetworkManagerService,C:\Program Files\NetworkManager\networkmanager.exe,Own Process,Auto Start,LocalService,Windows Defender,2024-09-01T08:45:12.189Z,4f23b18e-8e43-4121-bf3c-5d68c9b51aY
benign,7045,Netman,C:\Windows\System32\netman.dll,Share Process,Demand Start,NT AUTHORITY\LocalService,Windows Defender,2024-08-20T09:11:22.191Z,4e912c1a-92ca-4a58-b123-8g3k2l1mY
